cohort,DPH,seq,video_name,fps,num_frames_sampled,last_frame_sampled,duration.sampled,num_frames_with_detections,total_clips,removed_preds,start_frame,rotifers,artemia,temp,oxygen,PH,our.temp,mean_current,std_current,rms_current,pull,crazy,fast_start,rotate,breathe,swim,other,strike,spit_i&o,no_fish,tot_preds_in_sampled_time,tot_labeled,proportion_no_fish,min_labeled,frame_span_labeled,manually_annotated,mean_detections_per_frame_20,std_detections_per_frame_20,max_detections_per_frame_20,last_frame_labeled,age_group,frame_size,manual_strikes,manual_strikes_detected_kinetics,manual_strikes_detected_ssv,manual_strikes_detected,new_strikes_kinetics_only,new_strikes_ssv_only,new_strikes_both,new_strikes_detected,unique_strikes,tot_labeled_both,tank,full_duration_min,ssv2_execution_time,kinetics_execution_time
F10,17,Seq1,Seq1_17DPH_F10,500,2501,150040,,181,524,25,0,230,8.4,20.6,104,,,0.012768207,0.006699111,0.014418903,0,0,0,0,0,0,1,0,0,1,499,2,0.5,5.002666667,150080,TRUE,0.047619048,0.21821789,1,150080,Dec-20,400,0,0,0,0,0,0,0,0,0,2,101,44.0263,743.0328586,839.1737125
F10,22,Seq1,Seq1_22DPH_F10,500,2501,150040,,774,1053,57,0,456,36,20.6,89,8.08,,0.012057335,0.008958538,0.015021133,6,0,0,0,0,14,6,0,0,2,996,22,0.086956522,5.002666667,150080,TRUE,0.333333333,0.658280589,2,150080,21-26,400,0,0,0,0,0,0,0,0,0,46,101,51.69753333,2079.701713,1880.20084
F11,13,Seq1,Seq1_13DPH_F11,500,2501,150040,,120,138,6,0,293,0,20.4,98,8.14,,0.014492727,0.007464178,0.016301928,0,1,0,0,0,3,1,0,0,0,132,4,0,5.002666667,150080,TRUE,0.047619048,0.21821789,1,150080,Dec-20,400,0,0,0,0,0,0,0,0,0,5,81,49.6658,493.1066039,1336.049443
F11,15,Seq1,Seq1_15DPH_F11,500,2501,150040,,164,188,10,0,296,3.2,20.5,90,8.19,,0.015810912,0.007500206,0.017505877,0,0,0,0,0,7,0,0,0,0,178,7,0,5.002666667,150080,TRUE,0.190476191,0.402373908,1,150080,Dec-20,400,0,0,0,0,0,0,0,0,0,10,81,41.00713333,616.4285023,1418.375388
F11,15,Seq2,Seq2_15DPH_F11,500,2501,150040,,95,100,5,0,296,3.2,20.5,90,8.19,,0.015810912,0.007500206,0.017505877,0,0,0,0,0,4,0,0,0,0,95,4,0,5.002666667,150080,TRUE,0.095238095,0.300792604,1,150080,Dec-20,400,0,0,0,0,0,0,0,0,0,4,81,41.00713333,447.2105348,1292.440714
F11,19,Seq2,Seq2_19DPH_F11,500,2501,150040,,1034,1309,63,0,289,14.85,20.7,86,,,,,,7,0,1,0,0,52,6,0,3,0,1246,61,0,5.002666667,150080,TRUE,0.476190476,0.74960307,3,150080,Dec-20,400,0,0,0,0,0,0,0,0,0,65,81,21.08906667,2679.291831,3332.103847
F11,26,Seq1,Seq1_26DPH_F11,500,2501,150040,,1589,2717,140,0,0,72.8,20.4,94,8.11,,,,,10,0,0,0,0,2,10,0,0,0,2577,12,0,5.002666667,150080,TRUE,1.142857143,1.108409414,4,150080,21-26,400,0,0,0,0,0,0,0,0,0,20,81,14.1407,4341.063326,4395.251022
F11,27,Seq2,Seq2_27DPH_F11,500,668,40060,,293,1442,205,0,0,79.8,20.4,77,,,,,,8,0,0,0,0,56,9,0,0,26,2152,91,0.285714286,5.002666667,150080,TRUE,0.285714286,0.46291005,1,150080,27-30,400,0,0,0,0,0,0,0,0,0,108,81,5.1248,3076.454917,1303.400378
F11,28,Seq1,Seq1_28DPH_F11,490,683,40960,,151,164,4,0,0,88.2,20.5,92,,,,,,1,0,0,0,0,8,1,0,0,0,160,9,0,1.394557823,41000,TRUE,0.190476191,0.402373908,1,41000,27-30,400,0,0,0,0,0,0,0,0,0,12,81,1.395068027,418.4448757,617.5026937
F11,28,Seq2,Seq2_28DPH_F11,490,683,40960,,79,85,0,0,0,88.2,20.5,92,,,,,,0,0,0,0,0,1,0,0,0,2,85,3,0.666666667,1.394557823,41000,TRUE,0,0,0,41000,27-30,400,0,0,0,0,0,0,0,0,0,5,81,1.395068027,249.712908,446.365891
F11,28,Seq3,Seq3_28DPH_F11,490,683,40960,,253,318,8,0,0,88.2,20.5,92,,,,,,3,0,0,0,0,25,3,0,0,1,310,29,0.033333333,1.394557823,41000,TRUE,0.523809524,0.679635757,2,41000,27-30,400,0,0,0,0,0,0,0,0,0,38,81,1.395068027,693.06951,843.852417
F12,19,Seq1,Seq1_19DPH_F12,500,2501,150040,,1551,8352,1400,0,250,18.9,19.6,86,,,,,,0,0,0,0,0,8,0,0,0,0,6952,8,0,5.002666667,150080,TRUE,3,2.880972058,8,150080,Dec-20,400,0,0,0,0,0,0,0,0,0,12,101,20.02613333,6354.613477,4166.405873
