,Unnamed: 0,cohort,DPH,seq,video_name,fps,num_frames_sampled,last_frame_sampled,duration.sampled,num_frames_with_detections,total_clips,removed_preds,start_frame,rotifers,artemia,temp,oxygen,PH,our.temp,mean_current,std_current,rms_current,pull,crazy,fast_start,rotate,breathe,swim,other,strike,spit_i.o,no_fish,tot_preds_in_sampled_time,tot_labeled,proportion_no_fish,min_labeled,frame_span_labeled,manually_annotated,mean_detections_per_frame_20,std_detections_per_frame_20,max_detections_per_frame_20,last_frame_labeled,age_group,frame_size,manual_strikes,manual_strikes_detected_kinetics,manual_strikes_detected_ssv,manual_strikes_detected,new_strikes_kinetics_only,new_strikes_ssv_only,new_strikes_both,new_strikes_detected,unique_strikes,tot_labeled_both,tank,full_duration_min,stat_strikes,sr,full_duration_frame
63,70,F02,16,Seq1,Seq1_16DPH_F02,500,2501,150040,5.001333333,2447,4269,210,0,195.0,6.0,19.5,99.0,8.080340909,,,,,3,2,1,0,0,79,4,0,0,0,4059,83,0.0,5.00266666666667,150080,True,2.0,0.948683298,4,150080,15-20,400,0,0,0,0,0,0,0,0,0,121,41,19.99836667,0,0,599951
64,71,F02,20,Seq3,Seq3_20DPH_F02,750,3380,202780,4.506222222,2467,4375,259,0,0.0,24.0,20.2,90.0,8.080340909,,,,,0,0,0,0,0,17,0,0,0,0,4116,17,0.0,4.50711111111111,202820,True,1.285714286,1.189237451,4,202820,15-20,400,1,0,1,1,0,0,0,0,1,50,41,4.507511111,1,10,202838
65,72,F11,19,Seq3,Seq3_19DPH_F11,500,1751,105040,3.501333333,1318,3429,443,0,289.0,14.85,20.7,86.0,8.080340909,,,,,0,0,0,0,0,54,0,0,0,0,4458,54,0.0,5.00266666666667,150080,True,1.904761905,1.813966976,7,150080,15-20,400,0,0,0,0,0,0,0,0,0,86,81,15.4044,0,0,462132
66,73,F16,27,Seq3,Seq3_27DPH_F16,500,2501,150040,5.001333333,1698,2926,164,0,0.0,87.5,20.1,107.0,7.9,20.5,,,,63,4,1,0,1,69,75,3,2,8,2762,157,0.050955414,5.00266666666667,150080,False,1.095238095,0.94365046,4,150080,26-30,400,0,0,0,0,0,0,1,1,1,196,21,19.91833333,1,11,597550
67,74,F19,27,Seq1,Seq1_27DPH_F19,500,2501,150040,5.001333333,2500,11727,1434,0,0.0,75.6,20.3,101.0,8.1,20.2,,,,220,13,10,0,37,168,299,2,11,20,4760,500,0.04,2.59466666666667,77840,False,4.19047619,1.833549771,7,77840,26-30,400,0,0,0,0,0,1,2,3,3,555,31,20.0239,3,17,600717
68,75,F16,23,Seq1,Seq1_23DPH_F16,500,2501,150040,5.001333333,2501,20341,2513,0,345.0,48.6,19.9,100.0,8.01,19.8,,,,329,19,22,0,0,130,362,4,4,0,8113,500,0.0,2.21666666666667,66500,False,8.0,1.549193338,11,66500,21-25,400,0,0,0,0,3,0,0,3,3,572,21,12.11866667,3,10,363560
69,76,F17,26,Seq1,Seq1_26DPH_F17,500,2501,150040,5.001333333,2497,7589,477,0,0.0,72.45,20.3,85.0,8.02,20.3,0.012695368,0.005762856,0.01394212,107,25,2,1,0,274,158,0,2,66,3000,500,0.132,2.13466666666667,64040,False,2.857142857,1.651838802,8,64040,26-30,400,0,0,0,0,0,0,0,0,0,544,41,20.01673333,0,0,600502
70,77,F19,25,Seq1,Seq1_25DPH_F19,500,2501,150040,5.001333333,2462,12703,2029,0,0.0,87.5,20.6,102.0,8.08,20.1,,,,396,20,6,1,39,56,431,3,10,0,9615,500,0.0,4.47866666666667,134360,False,4.238095238,2.165750722,9,134360,21-25,400,0,0,0,0,3,0,0,3,3,598,31,22.87493333,3,9,686248
71,78,F11,26,Seq2,Seq2_26DPH_F11,500,2501,150040,5.001333333,2410,9520,954,0,0.0,72.8,20.4,94.0,8.11,21.0,,,,215,6,6,0,51,288,222,0,23,1,8566,534,0.001872659,5.00266666666667,150080,True,3.857142857,1.8516402,8,150080,26-30,400,0,0,0,0,0,0,0,0,0,569,81,19.86826667,0,0,596048
72,79,F16,29,Seq1,Seq1_29DPH_F16,500,2501,150040,5.001333333,2491,8237,677,0,0.0,103.95,21.3,107.0,8.01,21.3,,,,38,0,2,0,3,347,71,1,0,81,4227,500,0.162,2.76866666666667,83060,False,2.285714286,1.007117528,4,83060,26-30,400,0,0,0,0,0,0,1,1,1,577,21,22.57946667,1,9,677384
